filename,correct_nodes,missing_nodes,extra_nodes,correct_edges,missing_edges,extra_edges,precision,recall,f1_score
CPP_117.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_22.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_118.dot,6,0,2,4,0,2,0.7142857142857143,1.0,0.8333333333333333
CPP_154.dot,9,0,3,7,0,3,0.7272727272727273,1.0,0.8421052631578948
CPP_73.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_18.dot,10,0,0,8,0,0,1.0,1.0,1.0
CPP_40.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_54.dot,1,0,2,0,0,2,0.2,1.0,0.33333333333333337
CPP_105.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_30.dot,5,0,3,3,0,3,0.5714285714285714,1.0,0.7272727272727273
CPP_158.dot,8,0,3,6,0,12,0.4827586206896552,1.0,0.6511627906976745
CPP_9.dot,5,0,3,3,0,3,0.5714285714285714,1.0,0.7272727272727273
CPP_104.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_26.dot,5,0,5,3,0,7,0.4,1.0,0.5714285714285715
CPP_85.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_44.dot,11,0,3,0,11,16,0.36666666666666664,0.5,0.423076923076923
CPP_23.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_121.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_134.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_61.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_68.dot,8,0,2,6,0,2,0.7777777777777778,1.0,0.8750000000000001
CPP_60.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_128.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_72.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_12.dot,3,0,2,1,0,2,0.5,1.0,0.6666666666666666
CPP_1.dot,11,3,6,4,13,11,0.46875,0.4838709677419355,0.47619047619047616
CPP_55.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_95.dot,8,0,1,6,0,1,0.875,1.0,0.9333333333333333
CPP_88.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_77.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_96.dot,5,0,3,3,0,3,0.5714285714285714,1.0,0.7272727272727273
CPP_114.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_127.dot,3,0,1,1,0,1,0.6666666666666666,1.0,0.8
CPP_7.dot,13,2,9,6,11,23,0.37254901960784315,0.59375,0.4578313253012048
CPP_122.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_65.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_153.dot,7,1,5,5,1,5,0.5454545454545454,0.8571428571428571,0.6666666666666665
CPP_13.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_81.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_103.dot,11,0,3,5,6,7,0.6153846153846154,0.7272727272727273,0.6666666666666667
CPP_102.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_112.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_140.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_86.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_49.dot,0,1,0,0,0,0,0,0.0,0
CPP_97.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_149.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_98.dot,5,0,1,3,0,1,0.8,1.0,0.888888888888889
CPP_58.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_59.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_93.dot,7,0,3,5,0,3,0.6666666666666666,1.0,0.8
CPP_53.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_116.dot,6,0,3,4,0,3,0.625,1.0,0.7692307692307693
CPP_124.dot,9,0,1,7,0,29,0.34782608695652173,1.0,0.5161290322580645
CPP_25.dot,5,0,3,3,0,4,0.5333333333333333,1.0,0.6956521739130436
CPP_48.dot,7,0,2,5,0,3,0.7058823529411765,1.0,0.8275862068965517
CPP_20.dot,9,0,2,7,0,2,0.8,1.0,0.888888888888889
CPP_113.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_38.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_8.dot,7,0,1,5,0,1,0.8571428571428571,1.0,0.923076923076923
CPP_11.dot,3,0,2,1,0,2,0.5,1.0,0.6666666666666666
CPP_45.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_94.dot,11,1,2,2,10,12,0.48148148148148145,0.5416666666666666,0.5098039215686274
CPP_27.dot,0,7,0,0,5,0,0,0.0,0
CPP_139.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_63.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_107.dot,12,1,1,8,5,15,0.5555555555555556,0.7692307692307693,0.6451612903225806
CPP_37.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_70.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_24.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_69.dot,11,0,1,10,1,17,0.5384615384615384,0.9545454545454546,0.6885245901639344
CPP_29.dot,13,3,4,8,11,20,0.4666666666666667,0.6,0.5249999999999999
CPP_4.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_115.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_36.dot,1,0,2,0,0,1,0.25,1.0,0.4
CPP_89.dot,7,0,2,5,0,13,0.4444444444444444,1.0,0.6153846153846153
CPP_161.dot,7,0,3,5,0,3,0.6666666666666666,1.0,0.8
CPP_75.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_43.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_56.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_132.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_57.dot,0,1,0,0,0,0,0,0.0,0
CPP_143.dot,8,2,7,0,8,15,0.26666666666666666,0.4444444444444444,0.33333333333333337
CPP_137.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_6.dot,7,0,4,5,0,4,0.6,1.0,0.7499999999999999
CPP_39.dot,3,0,1,1,0,1,0.6666666666666666,1.0,0.8
CPP_71.dot,3,0,0,1,0,0,1.0,1.0,1.0
