filename,correct_nodes,missing_nodes,extra_nodes,correct_edges,missing_edges,extra_edges,precision,recall,f1_score
CPP_117.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_22.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_118.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_154.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_73.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_18.dot,10,0,0,8,0,0,1.0,1.0,1.0
CPP_40.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_54.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_105.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_30.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_158.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_9.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_104.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_26.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_85.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_44.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_23.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_121.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_134.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_61.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_68.dot,8,0,1,6,0,1,0.875,1.0,0.9333333333333333
CPP_60.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_128.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_72.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_12.dot,3,0,2,1,0,2,0.5,1.0,0.6666666666666666
CPP_1.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_55.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_95.dot,8,0,0,6,0,0,1.0,1.0,1.0
CPP_88.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_77.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_96.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_114.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_127.dot,3,0,1,1,0,1,0.6666666666666666,1.0,0.8
CPP_7.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_122.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_65.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_153.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_13.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_81.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_103.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_102.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_112.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_140.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_86.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_49.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_97.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_149.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_98.dot,5,0,0,3,0,0,1.0,1.0,1.0
CPP_58.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_59.dot,1,0,7,0,0,6,0.07142857142857142,1.0,0.13333333333333333
CPP_93.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_53.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_116.dot,6,0,2,4,0,2,0.7142857142857143,1.0,0.8333333333333333
CPP_124.dot,9,0,0,7,0,0,1.0,1.0,1.0
CPP_25.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_48.dot,7,0,0,5,0,0,1.0,1.0,1.0
CPP_20.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_113.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_38.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_8.dot,7,0,0,5,0,0,1.0,1.0,1.0
CPP_11.dot,3,0,1,1,0,1,0.6666666666666666,1.0,0.8
CPP_45.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_94.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_27.dot,7,0,2,5,0,2,0.75,1.0,0.8571428571428571
CPP_139.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_63.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_107.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_37.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_70.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_24.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_69.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_29.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_4.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_115.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_36.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_89.dot,7,0,2,5,0,2,0.75,1.0,0.8571428571428571
CPP_161.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_75.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_43.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_56.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_132.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_57.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_143.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_137.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_6.dot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPP_39.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_71.dot,3,0,0,1,0,0,1.0,1.0,1.0
