num_nodes,num_edges,density,num_connected_components,avg_degree,assortativity,betweenness_centrality,diameter,avg_shortest_path,eigenvector_centrality,cpp_file
4,2,0.16666666666666666,4,1.0,,0.0,inf,inf,0.4267773362389437,CPP_0.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_102.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_108.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_109.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_114.dot
4,4,0.3333333333333333,4,2.0,,0.0,inf,inf,0.4267773362389437,CPP_115.dot
4,2,0.16666666666666666,4,1.0,,0.0,inf,inf,0.4267773362389437,CPP_121.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_122.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_126.dot
4,4,0.3333333333333333,4,2.0,,0.0,inf,inf,0.4267773362389437,CPP_128.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_13.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_132.dot
4,4,0.3333333333333333,4,2.0,,0.0,inf,inf,0.4267773362389437,CPP_133.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_134.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_135.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_139.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_142.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_150.dot
4,2,0.16666666666666666,4,1.0,,0.0,inf,inf,0.4267773362389437,CPP_151.dot
3,3,0.5,3,2.0,,0.0,inf,inf,0.47140541992208496,CPP_157.dot
4,3,0.25,4,1.5,,0.0,inf,inf,0.4267773362389437,CPP_21.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_23.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_24.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_3.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_35.dot
4,6,0.5,4,3.0,,0.0,inf,inf,0.4267773362389437,CPP_4.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_40.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_41.dot
4,2,0.16666666666666666,4,1.0,,0.0,inf,inf,0.4267773362389437,CPP_42.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_43.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_45.dot
4,2,0.16666666666666666,4,1.0,,0.0,inf,inf,0.4267773362389437,CPP_46.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_52.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_53.dot
4,2,0.16666666666666666,4,1.0,,0.0,inf,inf,0.4267773362389437,CPP_55.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_56.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_60.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_61.dot
4,2,0.16666666666666666,4,1.0,,0.0,inf,inf,0.4267773362389437,CPP_63.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_71.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_72.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_73.dot
4,3,0.25,4,1.5,,0.0,inf,inf,0.4267773362389437,CPP_74.dot
1,0,0.0,1,0.0,,0.0,0.0,0.0,1.0,CPP_75.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_77.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_85.dot
3,3,0.5,3,2.0,,0.0,inf,inf,0.47140541992208496,CPP_92.dot
3,2,0.3333333333333333,3,1.3333333333333333,,0.0,inf,inf,0.47140541992208496,CPP_97.dot
