Filename,Token Length
3DSurfaceArea.bc,21212
ChocolateFeast.bc,13215
PolynomialDivision.bc,19760
StockMaximize.bc,17967
SherlockAndGCD.bc,14964
MaxTransform.bc,30320
PrimeNumberandQueries.bc,18201
WireRemoval.bc,22551
MakeAnagram.bc,20468
MutualIndivisibility.bc,9031
LEGOs.bc,14639
MatrixLand.bc,35101
CountPairs.bc,37627
LoveLetterMystery.bc,24750
LonelyInteger.bc,28242
FunnyString.bc,21002
BobGame.bc,41433
FindDigits.bc,13341
Pairs.bc,37320
BreakingSticks.bc,13392
LinkedListCycle.bc,20259
EruptingVolcanoes.bc,18681
AlternatingCharacters.bc,25279
RationalSums.bc,28090
counting_sort2.bc,11326
TileStackingProblem.bc,27731
FroginMaze.bc,24789
CavityMap.bc,27032
ManasaAndStones.bc,26725
HalloweenParty.bc,12130
MaximizingXOR.bc,10118
NumberGroups.bc,10622
PythagoreanTriple.bc,11577
CardsPermutation.bc,36697
SherlockAndSquares.bc,13790
TriangleNumbers.bc,15592
GameOfThrones1.bc,25782
StockPortfolio.bc,39492
ConstructaNumber.bc,15937
ExtraLongFactorials.bc,14377
KthMinimum.bc,31362
ProjectEulerMultiple3and5.bc,9549
DivisorExploration3.bc,24177
SequenceEquation.bc,13365
CastleTowers.bc,38010
UtopianTree.bc,12328
TheChosenOne.bc,14490
Service_lane.bc,15391
AngryProfessor.bc,15935
SansaXor.bc,11620
WalkingRobots.bc,28780
MaximizeProfit.bc,38319
LuckyPurchase.bc,17476
HighwayConstruction.bc,31133
StockPurchaseDay.bc,16067
TheSnakevstheWind.bc,22578
CutTheSticks.bc,16101
BoatTrips.bc,9594
MinimumEdgesinaLayeredGraph.bc,17953
GemStones.bc,12193
ConstructtheArray.bc,13251
TwoStrings.bc,30093
MinimumHeightTriangle.bc,12155
