Filename,Token Length
DistantPairs.bc,82861
StrangeFunction.bc,129612
3DSurfaceArea.bc,21212
ChocolateFeast.bc,13215
icecreamparlour.bc,60456
PolynomialDivision.bc,19760
StockMaximize.bc,17967
SherlockAndGCD.bc,14964
MaxTransform.bc,30320
PrimeNumberandQueries.bc,18201
WireRemoval.bc,22551
AnimalTransport.bc,48724
MakeAnagram.bc,20468
SimpleTreeCounting.bc,110476
MutualIndivisibility.bc,9031
LEGOs.bc,14639
OrderStrings.bc,314427
Salesman.bc,48543
MatrixLand.bc,35101
CountPairs.bc,37627
LoveLetterMystery.bc,24750
CostlyIntervals.bc,173278
MaximumPalindromes.bc,57321
KekotheBrilliant.bc,46252
LonelyInteger.bc,28242
FunnyString.bc,21002
BobGame.bc,41433
FindDigits.bc,13341
Pairs.bc,37320
CameraPurchase.bc,80778
BreakingSticks.bc,13392
LinkedListCycle.bc,20259
EruptingVolcanoes.bc,18681
AlternatingCharacters.bc,25279
RationalSums.bc,28090
counting_sort2.bc,11326
TileStackingProblem.bc,27731
FroginMaze.bc,24789
CavityMap.bc,27032
TheGreatGameofGalia.bc,57015
ManasaAndStones.bc,26725
HalloweenParty.bc,12130
MaximizingXOR.bc,10118
NumberGroups.bc,10622
SwapNodes.bc,116090
PythagoreanTriple.bc,11577
LetPlayaGame.bc,76132
CardsPermutation.bc,36697
SherlockAndSquares.bc,13790
OptimalPolygon.bc,173617
SuffixRotation.bc,117196
BoxOperations.bc,42113
TriangleNumbers.bc,15592
pangrams.bc,46280
GameOfThrones1.bc,25782
StockPortfolio.bc,39492
ConstructaNumber.bc,15937
DefiniteRandomWalks.bc,162774
ExtraLongFactorials.bc,14377
KthMinimum.bc,31362
ProjectEulerMultiple3and5.bc,9549
DivisorExploration3.bc,24177
SequenceEquation.bc,13365
CastleTowers.bc,38010
FactorialArray.bc,59527
TripleRecursion.bc,55867
ImpressiveTree.bc,49746
UtopianTree.bc,12328
ExtraSweet.bc,113136
TheChosenOne.bc,14490
Service_lane.bc,15391
AngryProfessor.bc,15935
SansaXor.bc,11620
WalkingRobots.bc,28780
CarShow.bc,103212
LexicographicallySmallerorEqualStrings.bc,123162
MaximizeProfit.bc,38319
AngryChildrens.bc,55865
LuckyPurchase.bc,17476
MissingNumber.bc,85035
HighwayConstruction.bc,31133
StockPurchaseDay.bc,16067
AfraidoftheDark.bc,65682
BlackWhiteTree.bc,81758
TheSnakevstheWind.bc,22578
SherlockAndPairs.bc,47732
closest.bc,52942
CutTheSticks.bc,16101
Keywords.bc,178086
BoatTrips.bc,9594
MinimumEdgesinaLayeredGraph.bc,17953
TwoArrays.bc,52661
MarchoftheKing.bc,102263
GemStones.bc,12193
ConstructtheArray.bc,13251
Airports.bc,75391
TwoStrings.bc,30093
SolvetheQueries.bc,141483
MinimumHeightTriangle.bc,12155
StrongPassword.bc,55059
