filename,correct_nodes,missing_nodes,extra_nodes,correct_edges,missing_edges,extra_edges,precision,recall,f1_score
CPP_117.dot,8,7,3,5,13,4,0.65,0.3939393939393939,0.490566037735849
CPP_22.dot,14,26,0,1,66,11,0.5769230769230769,0.14018691588785046,0.22556390977443608
CPP_118.dot,6,0,2,4,0,2,0.7142857142857143,1.0,0.8333333333333333
CPP_154.dot,7,2,2,5,2,2,0.75,0.75,0.75
CPP_73.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_18.dot,8,2,0,6,2,0,1.0,0.7777777777777778,0.8750000000000001
CPP_40.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_54.dot,1,0,3,0,0,1,0.2,1.0,0.33333333333333337
CPP_105.dot,14,14,2,6,39,6,0.7142857142857143,0.273972602739726,0.396039603960396
CPP_30.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_158.dot,7,1,3,5,1,3,0.6666666666666666,0.8571428571428571,0.75
CPP_9.dot,3,2,2,1,2,2,0.5,0.5,0.5
CPP_104.dot,7,4,2,3,6,4,0.625,0.5,0.5555555555555556
CPP_26.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_85.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_44.dot,4,7,2,1,10,3,0.5,0.22727272727272727,0.3125
CPP_23.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_121.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_134.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_61.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_68.dot,8,0,1,6,0,1,0.875,1.0,0.9333333333333333
CPP_60.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_128.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_72.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_12.dot,3,0,1,1,0,1,0.6666666666666666,1.0,0.8
CPP_1.dot,7,7,2,4,13,3,0.6875,0.3548387096774194,0.4680851063829787
CPP_55.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_95.dot,8,0,0,6,0,0,1.0,1.0,1.0
CPP_88.dot,7,4,2,3,8,5,0.5882352941176471,0.45454545454545453,0.5128205128205129
CPP_77.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_96.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_114.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_127.dot,3,0,1,1,0,0,0.8,1.0,0.888888888888889
CPP_7.dot,9,6,0,5,12,2,0.875,0.4375,0.5833333333333334
CPP_122.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_65.dot,9,2,1,4,7,4,0.7222222222222222,0.5909090909090909,0.65
CPP_153.dot,5,3,4,3,3,4,0.5,0.5714285714285714,0.5333333333333333
CPP_13.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_81.dot,7,4,0,4,7,1,0.9166666666666666,0.5,0.6470588235294118
CPP_103.dot,7,4,3,4,7,4,0.6111111111111112,0.5,0.55
CPP_102.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_112.dot,9,4,5,4,11,8,0.5,0.4642857142857143,0.4814814814814815
CPP_140.dot,3,4,4,1,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333
CPP_86.dot,8,4,2,4,7,4,0.6666666666666666,0.5217391304347826,0.5853658536585366
CPP_49.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_97.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_149.dot,16,10,0,4,51,8,0.7142857142857143,0.24691358024691357,0.36697247706422015
CPP_98.dot,5,0,0,3,0,0,1.0,1.0,1.0
CPP_58.dot,5,6,0,1,8,2,0.75,0.3,0.4285714285714285
CPP_59.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_93.dot,6,1,2,4,1,2,0.7142857142857143,0.8333333333333334,0.7692307692307692
CPP_53.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_116.dot,6,0,2,4,0,2,0.7142857142857143,1.0,0.8333333333333333
CPP_124.dot,9,0,0,7,0,0,1.0,1.0,1.0
CPP_25.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_48.dot,7,0,0,5,0,0,1.0,1.0,1.0
CPP_20.dot,9,0,1,7,0,1,0.8888888888888888,1.0,0.9411764705882353
CPP_113.dot,11,9,2,4,21,7,0.625,0.3333333333333333,0.43478260869565216
CPP_38.dot,7,1,3,8,2,6,0.625,0.8333333333333334,0.7142857142857143
CPP_8.dot,7,0,0,5,0,0,1.0,1.0,1.0
CPP_11.dot,3,0,1,1,0,1,0.6666666666666666,1.0,0.8
CPP_45.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_94.dot,4,8,1,1,11,2,0.625,0.20833333333333334,0.3125
CPP_27.dot,6,1,2,4,1,2,0.7142857142857143,0.8333333333333334,0.7692307692307692
CPP_139.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_63.dot,1,3,0,0,2,0,1.0,0.16666666666666666,0.2857142857142857
CPP_107.dot,11,2,0,7,6,2,0.9,0.6923076923076923,0.7826086956521738
CPP_37.dot,8,3,2,3,6,5,0.6111111111111112,0.55,0.5789473684210527
CPP_70.dot,8,3,2,5,6,3,0.7222222222222222,0.5909090909090909,0.65
CPP_24.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_69.dot,9,2,1,6,5,1,0.8823529411764706,0.6818181818181818,0.7692307692307693
CPP_29.dot,9,7,1,6,13,2,0.8333333333333334,0.42857142857142855,0.5660377358490566
CPP_4.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_115.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_36.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_89.dot,6,1,2,4,1,2,0.7142857142857143,0.8333333333333334,0.7692307692307692
CPP_161.dot,6,1,2,4,1,2,0.7142857142857143,0.8333333333333334,0.7692307692307692
CPP_75.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_43.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_56.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_132.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_57.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_143.dot,8,2,5,4,4,7,0.5,0.6666666666666666,0.5714285714285715
CPP_137.dot,21,27,0,5,78,13,0.6666666666666666,0.1984732824427481,0.30588235294117644
CPP_6.dot,7,0,3,5,0,2,0.7058823529411765,1.0,0.8275862068965517
CPP_39.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_71.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_17.dot,8,2,3,6,2,3,0.7,0.7777777777777778,0.7368421052631577
CPP_64.dot,5,0,0,3,0,0,1.0,1.0,1.0
CPP_111.dot,10,7,0,5,13,3,0.8333333333333334,0.42857142857142855,0.5660377358490566
CPP_157.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_150.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_35.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_126.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_109.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_135.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_76.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_155.dot,6,7,2,4,9,2,0.7142857142857143,0.38461538461538464,0.5
CPP_79.dot,5,8,4,1,12,6,0.375,0.23076923076923078,0.2857142857142857
CPP_142.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_92.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_80.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_119.dot,8,0,1,6,0,1,0.875,1.0,0.9333333333333333
CPP_156.dot,7,6,1,4,12,2,0.7857142857142857,0.3793103448275862,0.5116279069767441
CPP_42.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_31.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_83.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_5.dot,6,0,1,4,0,1,0.8333333333333334,1.0,0.9090909090909091
CPP_131.dot,5,5,2,2,8,2,0.6363636363636364,0.35,0.45161290322580644
CPP_160.dot,5,1,2,3,1,2,0.6666666666666666,0.8,0.7272727272727272
CPP_162.dot,9,1,2,7,1,2,0.8,0.8888888888888888,0.8421052631578948
CPP_138.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_52.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_110.dot,5,0,0,3,0,0,1.0,1.0,1.0
CPP_62.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_28.dot,6,1,2,4,1,2,0.7142857142857143,0.8333333333333334,0.7692307692307692
CPP_100.dot,6,0,1,4,0,1,0.8333333333333334,1.0,0.9090909090909091
CPP_130.dot,5,1,1,3,1,1,0.8,0.8,0.8000000000000002
CPP_66.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_21.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_10.dot,8,2,1,6,6,2,0.8235294117647058,0.6363636363636364,0.717948717948718
CPP_34.dot,8,3,1,4,5,3,0.75,0.6,0.6666666666666665
CPP_123.dot,9,3,1,4,6,4,0.7222222222222222,0.5909090909090909,0.65
CPP_14.dot,9,6,2,6,12,3,0.75,0.45454545454545453,0.5660377358490566
CPP_47.dot,6,3,0,3,5,1,0.9,0.5294117647058824,0.6666666666666667
CPP_50.dot,6,2,2,6,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666
CPP_0.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_141.dot,8,0,1,6,0,1,0.875,1.0,0.9333333333333333
CPP_106.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_2.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_159.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_15.dot,5,6,4,1,10,6,0.375,0.2727272727272727,0.3157894736842105
CPP_144.dot,8,2,0,6,2,0,1.0,0.7777777777777778,0.8750000000000001
CPP_163.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_41.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_46.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_152.dot,6,0,2,4,0,2,0.7142857142857143,1.0,0.8333333333333333
CPP_19.dot,11,21,0,1,68,5,0.7058823529411765,0.1188118811881188,0.20338983050847456
CPP_129.dot,6,0,3,4,0,3,0.625,1.0,0.7692307692307693
CPP_148.dot,11,6,0,6,19,3,0.85,0.40476190476190477,0.5483870967741935
CPP_90.dot,6,3,0,3,5,1,0.9,0.5294117647058824,0.6666666666666667
