filename,correct_nodes,missing_nodes,extra_nodes,correct_edges,missing_edges,extra_edges,precision,recall,f1_score
CPP_117.dot,0,15,0,0,18,0,0,0.0,0
CPP_22.dot,7,33,10,0,67,8,0.28,0.06542056074766354,0.10606060606060605
CPP_118.dot,1,5,6,0,4,5,0.08333333333333333,0.1,0.0909090909090909
CPP_154.dot,0,9,0,0,7,0,0,0.0,0
CPP_73.dot,0,1,1,0,0,0,0.0,0.0,0
CPP_18.dot,9,1,2,0,8,9,0.45,0.5,0.4736842105263158
CPP_40.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_54.dot,0,1,3,0,0,1,0.0,0.0,0
CPP_105.dot,10,18,2,4,41,4,0.7,0.1917808219178082,0.30107526881720426
CPP_30.dot,0,5,0,0,3,0,0,0.0,0
CPP_158.dot,3,5,8,0,6,9,0.15,0.21428571428571427,0.1764705882352941
CPP_9.dot,3,2,5,1,2,4,0.3076923076923077,0.5,0.380952380952381
CPP_104.dot,0,11,0,0,9,0,0,0.0,0
CPP_26.dot,1,4,6,0,3,5,0.08333333333333333,0.125,0.1
CPP_85.dot,2,1,1,0,1,1,0.5,0.5,0.5
CPP_44.dot,0,11,0,0,11,0,0,0.0,0
CPP_23.dot,0,1,1,0,0,0,0.0,0.0,0
CPP_121.dot,1,3,3,0,2,2,0.16666666666666666,0.16666666666666666,0.16666666666666666
CPP_134.dot,0,1,1,0,0,0,0.0,0.0,0
CPP_61.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_68.dot,0,8,0,0,6,0,0,0.0,0
CPP_60.dot,0,1,1,0,0,0,0.0,0.0,0
CPP_128.dot,2,2,2,0,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333
CPP_72.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_12.dot,3,0,2,1,0,2,0.5,1.0,0.6666666666666666
CPP_1.dot,0,14,0,0,17,0,0,0.0,0
CPP_55.dot,1,3,3,0,2,2,0.16666666666666666,0.16666666666666666,0.16666666666666666
CPP_95.dot,1,7,7,0,6,6,0.07142857142857142,0.07142857142857142,0.07142857142857142
CPP_88.dot,1,10,11,0,11,12,0.041666666666666664,0.045454545454545456,0.043478260869565216
CPP_77.dot,1,2,2,0,1,1,0.25,0.25,0.25
CPP_96.dot,3,2,5,1,2,5,0.2857142857142857,0.5,0.36363636363636365
CPP_114.dot,0,1,0,0,0,0,0,0.0,0
CPP_127.dot,2,1,1,0,1,1,0.5,0.5,0.5
CPP_7.dot,1,14,16,0,17,14,0.03225806451612903,0.03125,0.031746031746031744
CPP_122.dot,1,2,3,0,1,1,0.2,0.25,0.22222222222222224
CPP_65.dot,1,10,14,0,11,13,0.03571428571428571,0.045454545454545456,0.04
CPP_153.dot,2,6,10,0,6,10,0.09090909090909091,0.14285714285714285,0.1111111111111111
CPP_13.dot,0,1,5,0,0,4,0.0,0.0,0
CPP_81.dot,0,11,0,0,11,0,0,0.0,0
CPP_103.dot,1,10,8,0,11,7,0.0625,0.045454545454545456,0.052631578947368425
CPP_102.dot,0,1,1,0,0,0,0.0,0.0,0
CPP_112.dot,0,13,0,0,15,0,0,0.0,0
CPP_140.dot,0,7,0,0,5,0,0,0.0,0
CPP_86.dot,0,12,0,0,11,0,0,0.0,0
CPP_49.dot,0,1,9,0,0,12,0.0,0.0,0
CPP_97.dot,1,2,2,0,1,1,0.25,0.25,0.25
CPP_149.dot,0,26,0,0,55,0,0,0.0,0
CPP_98.dot,1,4,5,0,3,4,0.1,0.125,0.11111111111111112
CPP_58.dot,0,11,0,0,9,0,0,0.0,0
CPP_59.dot,0,1,7,0,0,8,0.0,0.0,0
CPP_93.dot,0,7,0,0,5,0,0,0.0,0
CPP_53.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_116.dot,1,5,8,0,4,6,0.06666666666666667,0.1,0.08
CPP_124.dot,0,9,0,0,7,0,0,0.0,0
CPP_25.dot,0,5,0,0,3,0,0,0.0,0
CPP_48.dot,4,3,4,0,5,6,0.2857142857142857,0.3333333333333333,0.30769230769230765
CPP_20.dot,2,7,9,0,7,9,0.1,0.125,0.11111111111111112
CPP_113.dot,0,20,0,0,25,0,0,0.0,0
CPP_38.dot,0,8,0,0,10,0,0,0.0,0
CPP_8.dot,1,6,6,0,5,5,0.08333333333333333,0.08333333333333333,0.08333333333333333
CPP_11.dot,1,2,4,0,1,3,0.125,0.25,0.16666666666666666
CPP_45.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_94.dot,0,12,0,0,12,0,0,0.0,0
CPP_27.dot,0,7,0,0,5,0,0,0.0,0
CPP_139.dot,0,1,1,0,0,0,0.0,0.0,0
CPP_63.dot,1,3,3,0,2,2,0.16666666666666666,0.16666666666666666,0.16666666666666666
CPP_107.dot,0,13,0,0,13,0,0,0.0,0
CPP_37.dot,0,11,0,0,9,0,0,0.0,0
CPP_70.dot,0,11,0,0,11,0,0,0.0,0
CPP_24.dot,0,1,1,0,0,0,0.0,0.0,0
CPP_69.dot,1,10,10,0,11,11,0.045454545454545456,0.045454545454545456,0.045454545454545456
CPP_29.dot,9,7,4,3,16,7,0.5217391304347826,0.34285714285714286,0.4137931034482759
CPP_4.dot,4,0,1,2,0,0,0.8571428571428571,1.0,0.923076923076923
CPP_115.dot,1,3,3,0,2,2,0.16666666666666666,0.16666666666666666,0.16666666666666666
CPP_36.dot,0,1,1,0,0,0,0.0,0.0,0
CPP_89.dot,1,6,8,0,5,7,0.0625,0.08333333333333333,0.07142857142857144
CPP_161.dot,0,7,0,0,5,0,0,0.0,0
CPP_75.dot,0,1,1,0,0,0,0.0,0.0,0
CPP_43.dot,2,1,1,0,1,1,0.5,0.5,0.5
CPP_56.dot,0,1,1,0,0,0,0.0,0.0,0
CPP_132.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_57.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_143.dot,4,6,7,0,8,9,0.2,0.2222222222222222,0.2105263157894737
CPP_137.dot,29,19,1,0,83,7,0.7837837837837838,0.22137404580152673,0.34523809523809523
CPP_6.dot,1,6,10,0,5,9,0.05,0.08333333333333333,0.0625
CPP_39.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_71.dot,0,3,2,0,1,1,0.0,0.0,0
CPP_17.dot,1,9,13,0,8,12,0.038461538461538464,0.05555555555555555,0.04545454545454546
CPP_64.dot,0,5,0,0,3,0,0,0.0,0
CPP_111.dot,7,10,1,2,16,4,0.6428571428571429,0.2571428571428571,0.36734693877551017
CPP_157.dot,1,2,2,0,1,1,0.25,0.25,0.25
CPP_150.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_35.dot,1,2,2,0,1,1,0.25,0.25,0.25
CPP_126.dot,0,1,9,0,0,10,0.0,0.0,0
CPP_109.dot,2,1,1,0,1,1,0.5,0.5,0.5
CPP_135.dot,1,2,2,0,1,1,0.25,0.25,0.25
CPP_76.dot,0,1,1,0,0,0,0.0,0.0,0
