Filename,Token Length
CPP_78.bc,5910
CPP_40.bc,4440
CPP_106.bc,11308
CPP_82.bc,2669
CPP_130.bc,13474
CPP_108.bc,3996
CPP_71.bc,2178
CPP_85.bc,6250
CPP_163.bc,8333
CPP_25.bc,11764
CPP_155.bc,15422
CPP_13.bc,1479
CPP_84.bc,29123
CPP_109.bc,5698
CPP_136.bc,5615
CPP_77.bc,1635
CPP_48.bc,13986
CPP_131.bc,11176
CPP_107.bc,23906
CPP_46.bc,5061
CPP_100.bc,8175
CPP_12.bc,7235
CPP_153.bc,21798
CPP_15.bc,25683
CPP_23.bc,1846
CPP_162.bc,24105
CPP_24.bc,1629
CPP_0.bc,4233
CPP_39.bc,2285
CPP_7.bc,30045
CPP_30.bc,9327
CPP_9.bc,8968
CPP_122.bc,7133
CPP_64.bc,6713
CPP_63.bc,4711
CPP_55.bc,5481
CPP_99.bc,2663
CPP_52.bc,3434
CPP_31.bc,1780
CPP_8.bc,9070
CPP_36.bc,2171
CPP_146.bc,11641
CPP_141.bc,15842
CPP_115.bc,9943
CPP_53.bc,1008
CPP_54.bc,16579
CPP_96.bc,10278
CPP_62.bc,9225
CPP_91.bc,4868
CPP_158.bc,25128
CPP_160.bc,25555
CPP_151.bc,4120
CPP_43.bc,3841
CPP_44.bc,17504
CPP_134.bc,3458
CPP_75.bc,2234
CPP_133.bc,4800
CPP_150.bc,1730
CPP_11.bc,7146
CPP_161.bc,25739
CPP_18.bc,10198
CPP_27.bc,13131
CPP_74.bc,11214
CPP_80.bc,3594
CPP_132.bc,3591
CPP_87.bc,17039
CPP_73.bc,3082
CPP_135.bc,5122
CPP_103.bc,20662
CPP_42.bc,7345
CPP_89.bc,12923
CPP_126.bc,3561
CPP_60.bc,1051
CPP_119.bc,27417
CPP_94.bc,21454
CPP_121.bc,6457
CPP_93.bc,18825
CPP_67.bc,23877
CPP_51.bc,19207
CPP_128.bc,5056
CPP_69.bc,23871
CPP_110.bc,14503
CPP_56.bc,3135
CPP_4.bc,8542
CPP_144.bc,22883
CPP_68.bc,9846
CPP_57.bc,5549
CPP_116.bc,12841
CPP_50.bc,22456
CPP_59.bc,2055
CPP_66.bc,7412
CPP_127.bc,6453
CPP_95.bc,11376
CPP_118.bc,20776
CPP_35.bc,4986
CPP_32.bc,17985
CPP_2.bc,1073
