,File,GPT-4o,GPT-3.5,Gemma
0,CPP_0.cpp,Compilation Failed,Compilation Failed,Compilation Failed
1,CPP_1.cpp,Compilation Failed,Compilation Failed,
2,CPP_10.cpp,Execution Failed,,
3,CPP_100.cpp,Compilation Failed,Compilation Failed,Compilation Failed
4,CPP_101.cpp,Compilation Failed,,
5,CPP_102.cpp,Compilation Failed,Compilation Failed,Execution Failed
6,CPP_103.cpp,Compilation Failed,Compilation Failed,
7,CPP_104.cpp,Compilation Failed,,
8,CPP_105.cpp,Compilation Failed,,
9,CPP_106.cpp,Compilation Failed,Compilation Failed,Compilation Failed
10,CPP_107.cpp,Compilation Failed,Compilation Failed,
11,CPP_108.cpp,Execution Failed,Compilation Failed,Compilation Failed
12,CPP_109.cpp,Compilation Failed,Compilation Failed,Compilation Failed
13,CPP_11.cpp,Compilation Failed,Compilation Failed,Compilation Failed
14,CPP_110.cpp,Compilation Failed,Compilation Failed,
15,CPP_111.cpp,Compilation Failed,,
16,CPP_112.cpp,Compilation Failed,,
17,CPP_113.cpp,Compilation Failed,,
18,CPP_114.cpp,Compilation Failed,Compilation Failed,Compilation Failed
19,CPP_115.cpp,Compilation Failed,Compilation Failed,Compilation Failed
20,CPP_116.cpp,Compilation Failed,Compilation Failed,Compilation Failed
21,CPP_117.cpp,Compilation Failed,,
22,CPP_118.cpp,Compilation Failed,Compilation Failed,
23,CPP_119.cpp,Compilation Failed,Compilation Failed,
24,CPP_12.cpp,Compilation Failed,Compilation Failed,Compilation Failed
25,CPP_120.cpp,Compilation Failed,,
26,CPP_121.cpp,Compilation Failed,Compilation Failed,Compilation Failed
27,CPP_122.cpp,Compilation Failed,Compilation Failed,Compilation Failed
28,CPP_123.cpp,Compilation Failed,,
29,CPP_124.cpp,Execution Failed,Compilation Failed,Execution Failed
30,CPP_125.cpp,Compilation Failed,,
31,CPP_126.cpp,Execution Failed,Compilation Failed,Compilation Failed
32,CPP_127.cpp,Compilation Failed,Compilation Failed,Compilation Failed
33,CPP_128.cpp,Compilation Failed,Execution Failed,Compilation Failed
34,CPP_129.cpp,Compilation Failed,Compilation Failed,
35,CPP_13.cpp,Compilation Failed,Compilation Failed,Passed
36,CPP_130.cpp,Compilation Failed,Compilation Failed,Compilation Failed
37,CPP_131.cpp,Compilation Failed,Compilation Failed,Compilation Failed
38,CPP_132.cpp,Execution Failed,Compilation Failed,Compilation Failed
39,CPP_133.cpp,Passed,Compilation Failed,Compilation Failed
40,CPP_134.cpp,Execution Failed,Compilation Failed,Compilation Failed
41,CPP_135.cpp,Compilation Failed,Compilation Failed,Compilation Failed
42,CPP_136.cpp,Compilation Failed,Compilation Failed,Compilation Failed
43,CPP_137.cpp,Compilation Failed,,
44,CPP_138.cpp,Compilation Failed,Compilation Failed,Compilation Failed
45,CPP_139.cpp,Execution Failed,Compilation Failed,Compilation Failed
46,CPP_14.cpp,Compilation Failed,Compilation Failed,
47,CPP_140.cpp,Compilation Failed,,
48,CPP_141.cpp,Compilation Failed,Compilation Failed,Compilation Failed
49,CPP_142.cpp,Compilation Failed,Execution Failed,Compilation Failed
50,CPP_143.cpp,Compilation Failed,Compilation Failed,
51,CPP_144.cpp,Compilation Failed,Compilation Failed,
52,CPP_145.cpp,Compilation Failed,Compilation Failed,
53,CPP_146.cpp,Compilation Failed,Compilation Failed,Compilation Failed
54,CPP_147.cpp,Compilation Failed,,
55,CPP_148.cpp,Compilation Failed,,
56,CPP_149.cpp,Compilation Failed,,
57,CPP_15.cpp,Compilation Failed,Compilation Failed,
58,CPP_150.cpp,Execution Failed,Compilation Failed,Compilation Failed
59,CPP_151.cpp,Compilation Failed,Compilation Failed,Compilation Failed
60,CPP_152.cpp,Compilation Failed,Compilation Failed,Compilation Failed
61,CPP_153.cpp,Compilation Failed,Compilation Failed,
62,CPP_154.cpp,Execution Failed,Compilation Failed,
63,CPP_155.cpp,Compilation Failed,Compilation Failed,Compilation Failed
64,CPP_156.cpp,Compilation Failed,,
65,CPP_157.cpp,Passed,Compilation Failed,Compilation Failed
66,CPP_158.cpp,Compilation Failed,Compilation Failed,
67,CPP_159.cpp,Compilation Failed,Compilation Failed,Compilation Failed
68,CPP_16.cpp,Passed,Compilation Failed,Compilation Failed
69,CPP_160.cpp,Execution Failed,Compilation Failed,
70,CPP_161.cpp,Compilation Failed,Compilation Failed,
71,CPP_162.cpp,Compilation Failed,Compilation Failed,
72,CPP_163.cpp,Compilation Failed,Compilation Failed,Compilation Failed
73,CPP_17.cpp,Compilation Failed,Compilation Failed,
74,CPP_18.cpp,Compilation Failed,Compilation Failed,Passed
75,CPP_19.cpp,Compilation Failed,,
76,CPP_2.cpp,Passed,Compilation Failed,Compilation Failed
77,CPP_20.cpp,Compilation Failed,Compilation Failed,
78,CPP_21.cpp,Compilation Failed,Compilation Failed,Compilation Failed
79,CPP_22.cpp,Compilation Failed,,
80,CPP_23.cpp,Passed,Compilation Failed,Execution Failed
81,CPP_24.cpp,Compilation Failed,Compilation Failed,Compilation Failed
82,CPP_25.cpp,Compilation Failed,Compilation Failed,Compilation Failed
83,CPP_26.cpp,Compilation Failed,Compilation Failed,
84,CPP_27.cpp,Compilation Failed,Compilation Failed,Compilation Failed
85,CPP_28.cpp,Compilation Failed,Compilation Failed,Compilation Failed
86,CPP_29.cpp,Compilation Failed,Compilation Failed,
87,CPP_3.cpp,Compilation Failed,Compilation Failed,Compilation Failed
88,CPP_30.cpp,Compilation Failed,Compilation Failed,Compilation Failed
89,CPP_31.cpp,Passed,Compilation Failed,Compilation Failed
90,CPP_32.cpp,Compilation Failed,Compilation Failed,
91,CPP_33.cpp,Compilation Failed,,
92,CPP_34.cpp,Compilation Failed,,
93,CPP_35.cpp,Compilation Failed,Compilation Failed,Compilation Failed
94,CPP_36.cpp,Compilation Failed,Compilation Failed,Compilation Failed
95,CPP_37.cpp,Compilation Failed,,
96,CPP_38.cpp,Compilation Failed,,
97,CPP_39.cpp,Compilation Failed,Compilation Failed,Passed
98,CPP_4.cpp,Compilation Failed,Compilation Failed,Compilation Failed
99,CPP_40.cpp,Compilation Failed,Compilation Failed,Execution Failed
100,CPP_41.cpp,Compilation Failed,Compilation Failed,Passed
101,CPP_42.cpp,Compilation Failed,Compilation Failed,Compilation Failed
102,CPP_43.cpp,Passed,Compilation Failed,Compilation Failed
103,CPP_44.cpp,Compilation Failed,Compilation Failed,
104,CPP_45.cpp,Compilation Failed,Compilation Failed,Compilation Failed
105,CPP_46.cpp,Compilation Failed,Compilation Failed,Execution Failed
106,CPP_47.cpp,Compilation Failed,,
107,CPP_48.cpp,Compilation Failed,Compilation Failed,Compilation Failed
108,CPP_49.cpp,Compilation Failed,Compilation Failed,Compilation Failed
109,CPP_5.cpp,Compilation Failed,Compilation Failed,Compilation Failed
110,CPP_50.cpp,Compilation Failed,Compilation Failed,
111,CPP_51.cpp,Compilation Failed,Compilation Failed,
112,CPP_52.cpp,Compilation Failed,Compilation Failed,Compilation Failed
113,CPP_53.cpp,Compilation Failed,Compilation Failed,Compilation Failed
114,CPP_54.cpp,Execution Failed,Compilation Failed,
115,CPP_55.cpp,Compilation Failed,Compilation Failed,Execution Failed
116,CPP_56.cpp,Passed,Compilation Failed,Compilation Failed
117,CPP_57.cpp,Execution Failed,Compilation Failed,Compilation Failed
118,CPP_58.cpp,Compilation Failed,,
119,CPP_59.cpp,Compilation Failed,Compilation Failed,Compilation Failed
120,CPP_6.cpp,Compilation Failed,Compilation Failed,Compilation Failed
121,CPP_60.cpp,Compilation Failed,Compilation Failed,Passed
122,CPP_61.cpp,Passed,Compilation Failed,Compilation Failed
123,CPP_62.cpp,Compilation Failed,Compilation Failed,Compilation Failed
124,CPP_63.cpp,Compilation Failed,Compilation Failed,Compilation Failed
125,CPP_64.cpp,Execution Failed,Compilation Failed,Compilation Failed
126,CPP_65.cpp,Compilation Failed,,
127,CPP_66.cpp,Execution Failed,Compilation Failed,Compilation Failed
128,CPP_67.cpp,Passed,Compilation Failed,
129,CPP_68.cpp,Compilation Failed,Compilation Failed,Compilation Failed
130,CPP_69.cpp,Compilation Failed,Compilation Failed,
131,CPP_7.cpp,Compilation Failed,Compilation Failed,
132,CPP_70.cpp,Compilation Failed,,
133,CPP_71.cpp,Passed,Execution Failed,Compilation Failed
134,CPP_72.cpp,Compilation Failed,Compilation Failed,Compilation Failed
135,CPP_73.cpp,Compilation Failed,Compilation Failed,Compilation Failed
136,CPP_74.cpp,Compilation Failed,Compilation Failed,Compilation Failed
137,CPP_75.cpp,Compilation Failed,Compilation Failed,Compilation Failed
138,CPP_76.cpp,Compilation Failed,Execution Failed,Execution Failed
139,CPP_77.cpp,Compilation Failed,Compilation Failed,Compilation Failed
140,CPP_78.cpp,Execution Failed,Compilation Failed,Passed
141,CPP_79.cpp,Compilation Failed,Compilation Failed,
142,CPP_8.cpp,Compilation Failed,Compilation Failed,Compilation Failed
143,CPP_80.cpp,Execution Failed,Compilation Failed,Execution Failed
144,CPP_81.cpp,Compilation Failed,,
145,CPP_82.cpp,Passed,Compilation Failed,Compilation Failed
146,CPP_83.cpp,Compilation Failed,Compilation Failed,Compilation Failed
147,CPP_84.cpp,Compilation Failed,Compilation Failed,
148,CPP_85.cpp,Compilation Failed,Compilation Failed,Compilation Failed
149,CPP_86.cpp,Compilation Failed,,
150,CPP_87.cpp,Compilation Failed,Compilation Failed,
151,CPP_88.cpp,Compilation Failed,,
152,CPP_89.cpp,Compilation Failed,Compilation Failed,Compilation Failed
153,CPP_9.cpp,Compilation Failed,Compilation Failed,Compilation Failed
154,CPP_90.cpp,Compilation Failed,,
155,CPP_91.cpp,Execution Failed,Compilation Failed,Compilation Failed
156,CPP_92.cpp,Execution Failed,Compilation Failed,Execution Failed
157,CPP_93.cpp,Compilation Failed,Compilation Failed,
158,CPP_94.cpp,Compilation Failed,Compilation Failed,
159,CPP_95.cpp,Compilation Failed,Compilation Failed,Compilation Failed
160,CPP_96.cpp,Compilation Failed,Compilation Failed,Compilation Failed
