File Name,Original Lines,New Lines,Rate
EruptingVolcanoes.bc,330,296,0.90
CutTheSticks.bc,262,319,1.22
PolynomialDivision.bc,382,207,0.54
SherlockAndGCD.bc,239,148,0.62
Pairs.bc,605,427,0.71
MaximizeProfit.bc,782,689,0.88
Service_lane.bc,245,363,1.48
CameraPurchase.bc,1721,391,0.23
WireRemoval.bc,414,373,0.90
StockMaximize.bc,310,203,0.65
DivisorExploration3.bc,482,539,1.12
MaximumPalindromes.bc,1024,251,0.25
StockPurchaseDay.bc,322,130,0.40
SherlockAndPairs.bc,790,796,1.01
HighwayConstruction.bc,580,269,0.46
LuckyPurchase.bc,303,403,1.33
BreakingSticks.bc,218,197,0.90
MakeAnagram.bc,377,645,1.71
OptimalPolygon.bc,3553,929,0.26
TheGreatGameofGalia.bc,1242,1213,0.98
AngryChildrens.bc,1272,231,0.18
StockPortfolio.bc,711,323,0.45
TwoArrays.bc,1134,1407,1.24
pangrams.bc,775,561,0.72
SequenceEquation.bc,220,180,0.82
MissingNumber.bc,1733,629,0.36
HalloweenParty.bc,183,124,0.68
AlternatingCharacters.bc,460,418,0.91
PythagoreanTriple.bc,155,135,0.87
closest.bc,1174,516,0.44
FindDigits.bc,214,291,1.36
SuffixRotation.bc,1801,939,0.52
ExtraLongFactorials.bc,319,288,0.90
LEGOs.bc,222,210,0.95
CavityMap.bc,558,328,0.59
Airports.bc,1138,553,0.49
MaxTransform.bc,645,591,0.92
TriangleNumbers.bc,240,205,0.85
TheChosenOne.bc,261,291,1.11
StrangeFunction.bc,2399,703,0.29
BobGame.bc,792,343,0.43
SansaXor.bc,177,169,0.95
AngryProfessor.bc,246,218,0.89
ConstructtheArray.bc,200,191,0.95
CarShow.bc,2230,646,0.29
3DSurfaceArea.bc,391,169,0.43
icecreamparlour.bc,1301,1202,0.92
CardsPermutation.bc,780,336,0.43
MaximizingXOR.bc,153,213,1.39
SimpleTreeCounting.bc,1987,230,0.12
BoatTrips.bc,142,225,1.58
MatrixLand.bc,726,510,0.70
StrongPassword.bc,1047,584,0.56
NumberGroups.bc,152,105,0.69
counting_sort2.bc,176,157,0.89
ExtraSweet.bc,1620,487,0.30
Keywords.bc,3004,1377,0.46
ManasaAndStones.bc,430,478,1.11
TileStackingProblem.bc,492,410,0.83
ConstructaNumber.bc,253,136,0.54
CastleTowers.bc,804,502,0.62
TheSnakevstheWind.bc,409,226,0.55
LetPlayaGame.bc,1602,479,0.30
LexicographicallySmallerorEqualStrings.bc,2502,373,0.15
SherlockAndSquares.bc,216,236,1.09
FunnyString.bc,355,311,0.88
SwapNodes.bc,2302,1121,0.49
LonelyInteger.bc,598,589,0.98
ProjectEulerMultiple3and5.bc,144,170,1.18
DistantPairs.bc,1656,1242,0.75
UtopianTree.bc,194,212,1.09
KthMinimum.bc,648,628,0.97
PrimeNumberandQueries.bc,311,348,1.12
FactorialArray.bc,1084,284,0.26
CountPairs.bc,767,421,0.55
BlackWhiteTree.bc,1709,859,0.50
TwoStrings.bc,544,411,0.76
WalkingRobots.bc,558,666,1.19
DefiniteRandomWalks.bc,3198,539,0.17
GameOfThrones1.bc,499,1115,2.23
GemStones.bc,186,169,0.91
MarchoftheKing.bc,1893,189,0.10
ChocolateFeast.bc,206,175,0.85
RationalSums.bc,586,424,0.72
MutualIndivisibility.bc,163,100,0.61
LoveLetterMystery.bc,463,330,0.71
MinimumHeightTriangle.bc,183,171,0.93

Overall Rate: 0.55
