File Name,Original Line Number,New Line Number,Rate
EruptingVolcanoes.bc,330,296,0.896969696969697
CutTheSticks.bc,262,319,1.217557251908397
PolynomialDivision.bc,382,207,0.5418848167539267
SherlockAndGCD.bc,239,148,0.6192468619246861
Pairs.bc,605,427,0.7057851239669422
MaximizeProfit.bc,782,689,0.881074168797954
Service_lane.bc,245,363,1.4816326530612245
CameraPurchase.bc,1721,391,0.2271934921557234
WireRemoval.bc,414,373,0.9009661835748792
StockMaximize.bc,310,203,0.6548387096774193
DivisorExploration3.bc,482,539,1.1182572614107884
MaximumPalindromes.bc,1024,251,0.2451171875
StockPurchaseDay.bc,322,130,0.40372670807453415
SherlockAndPairs.bc,790,796,1.0075949367088608
HighwayConstruction.bc,580,269,0.46379310344827585
LuckyPurchase.bc,303,403,1.33003300330033
BreakingSticks.bc,218,197,0.9036697247706422
MakeAnagram.bc,377,645,1.7108753315649867
OptimalPolygon.bc,3553,929,0.26146918097382493
TheGreatGameofGalia.bc,1242,1213,0.9766505636070854
AngryChildrens.bc,1272,231,0.18160377358490565
StockPortfolio.bc,711,323,0.4542897327707454
TwoArrays.bc,1134,1407,1.2407407407407407
pangrams.bc,775,561,0.7238709677419355
SequenceEquation.bc,220,180,0.8181818181818182
MissingNumber.bc,1733,629,0.36295441431044434
HalloweenParty.bc,183,124,0.6775956284153005
AlternatingCharacters.bc,460,418,0.908695652173913
PythagoreanTriple.bc,155,135,0.8709677419354839
closest.bc,1174,516,0.4395229982964225
FindDigits.bc,214,291,1.3598130841121496
SuffixRotation.bc,1801,939,0.5213770127706829
ExtraLongFactorials.bc,319,288,0.9028213166144201
LEGOs.bc,222,210,0.9459459459459459
CavityMap.bc,558,328,0.5878136200716846
Airports.bc,1138,553,0.4859402460456942
MaxTransform.bc,645,591,0.9162790697674419
TriangleNumbers.bc,240,205,0.8541666666666666
TheChosenOne.bc,261,291,1.1149425287356323
StrangeFunction.bc,2399,703,0.2930387661525636
BobGame.bc,792,343,0.43308080808080807
SansaXor.bc,177,169,0.9548022598870056
AngryProfessor.bc,246,218,0.8861788617886179
ConstructtheArray.bc,200,191,0.955
CarShow.bc,2230,646,0.2896860986547085
3DSurfaceArea.bc,391,169,0.4322250639386189
icecreamparlour.bc,1301,1202,0.9239046887009992
CardsPermutation.bc,780,336,0.4307692307692308
MaximizingXOR.bc,153,213,1.392156862745098
SimpleTreeCounting.bc,1987,230,0.11575239053850025
BoatTrips.bc,142,225,1.5845070422535212
MatrixLand.bc,726,510,0.7024793388429752
StrongPassword.bc,1047,584,0.5577841451766953
NumberGroups.bc,152,105,0.6907894736842105
counting_sort2.bc,176,157,0.8920454545454546
ExtraSweet.bc,1620,487,0.30061728395061726
Keywords.bc,3004,1377,0.45838881491344874
ManasaAndStones.bc,430,478,1.1116279069767443
TileStackingProblem.bc,492,410,0.8333333333333334
ConstructaNumber.bc,253,136,0.5375494071146245
CastleTowers.bc,804,502,0.6243781094527363
TheSnakevstheWind.bc,409,226,0.5525672371638142
LetPlayaGame.bc,1602,479,0.2990012484394507
LexicographicallySmallerorEqualStrings.bc,2502,373,0.14908073541167066
SherlockAndSquares.bc,216,236,1.0925925925925926
FunnyString.bc,355,311,0.8760563380281691
SwapNodes.bc,2302,1121,0.48696785403996523
LonelyInteger.bc,598,589,0.9849498327759197
ProjectEulerMultiple3and5.bc,144,170,1.1805555555555556
DistantPairs.bc,1656,1242,0.75
UtopianTree.bc,194,212,1.092783505154639
KthMinimum.bc,648,628,0.9691358024691358
PrimeNumberandQueries.bc,311,348,1.1189710610932475
FactorialArray.bc,1084,284,0.26199261992619927
CountPairs.bc,767,421,0.5488917861799217
BlackWhiteTree.bc,1709,859,0.502633118782914
TwoStrings.bc,544,411,0.7555147058823529
WalkingRobots.bc,558,666,1.1935483870967742
DefiniteRandomWalks.bc,3198,539,0.16854283927454658
GameOfThrones1.bc,499,1115,2.2344689378757514
GemStones.bc,186,169,0.9086021505376344
MarchoftheKing.bc,1893,189,0.09984152139461172
ChocolateFeast.bc,206,175,0.8495145631067961
RationalSums.bc,586,424,0.7235494880546075
MutualIndivisibility.bc,163,100,0.6134969325153374
LoveLetterMystery.bc,463,330,0.712742980561555
MinimumHeightTriangle.bc,183,171,0.9344262295081968

Overall Rate,0.546512293556974
